fecha,"Cuentas validadas de Banco del Ahorro Nacional y Servicios Financieros, S.N.C.","Cuentas validadas de Banco Actinver, S.A.","Cuentas validadas de Opciones Empresariales del Noreste, S.A. de C.V.","Cuentas validadas de Banco Azteca, S.A.","Cuentas validadas de Bansi, S.A.","Cuentas validadas de Banco Base, S.A.","Cuentas validadas de Banco Autofin México, S.A.","Cuentas validadas de Banco Ahorro Famsa, S.A.","Cuentas validadas de Banco Mercantil del Norte, S.A.","Cuentas validadas de Bankaool, S.A.","Cuentas validadas de BanCoppel, S.A.","Cuentas validadas de Banco Nacional de México, S.A.",Cuentas validadas de Banco Regional S.A.,"Cuentas validadas de Banco Nacional del Ejército, Fuerza Aérea y Armada","Cuentas validadas de ABC Capital, S.A.",Total de cuentas validadas,"Cuentas validadas de Banco Bancrea, S.A.","Cuentas validadas de Banco del Bajío, S.A.","Cuentas validadas de BBVA Bancomer, S.A.","Cuentas validadas de Banca Afirme, S.A.","Cuentas validadas de Fundación Dondé Banco, S.A.","Cuentas validadas de Banco Santander (México), S.A.","Cuentas validadas de Banco Monex, S.A.","Cuentas validadas de CIBanco, S.A.","Cuentas validadas de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Cuentas validadas de Banco Ve Por Mas, S.A.","Cuentas validadas de Banco Pagatodo, S.A.","Cuentas validadas de Banca Mifel, S.A.","Cuentas validadas de Banco Inbursa, S.A.","Cuentas validadas de Scotiabank Inverlat, S.A.","Cuentas validadas de Consubanco, S.A","Cuentas validadas de Banco Multiva, S.A.","Cuentas validadas de Intercam Banco, S.A.","Cuentas validadas de Banco Invex, S.A.","Cuentas validadas de HSBC México, S.A.","Cuentas validadas de Banco Compartamos, S.A.","Cuentas validadas de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Cuentas validadas de Banco Sabadell, S.A.","Cuentas validadas de Banco Inmobiliario Mexicano, S.A.","Cuentas validadas de Accendo Banco, S.A.","Cuentas validadas de Operadora de Pagos Móviles de México, S.A de C.V."
2020-05-24,0,0,5,718,0,1,2,12,339,0,"2,571","1,352",362,20,0,"20,477",0,21,"12,572",41,0,"1,084",0,0,1,1,24,5,83,373,0,0,6,0,863,13,8,0,0,N/E,0
2020-05-25,0,0,2,294,0,0,1,13,161,0,942,502,141,9,0,"9,422",1,9,"5,689",11,0,411,0,0,0,0,8,3,27,143,0,0,1,0,"1,047",2,5,0,0,N/E,0
2020-05-26,1,0,2,243,0,1,2,12,135,0,910,624,158,6,0,"9,494",0,4,"5,652",27,0,375,0,0,-1,2,4,4,34,170,0,0,1,0,"1,119",2,6,1,0,N/E,0
2020-05-27,0,0,1,233,0,0,0,11,119,0,800,565,121,10,0,"11,850",0,9,"8,761",16,0,359,0,1,1,0,7,2,23,200,0,0,2,0,598,7,3,1,0,N/E,0
2020-05-28,0,0,1,297,0,0,1,28,175,0,"1,003",603,140,18,0,"13,902",0,15,"10,299",16,0,391,0,0,0,2,17,0,31,270,0,0,1,0,579,5,8,2,0,N/E,0
2020-05-29,0,0,0,266,0,0,0,27,144,-1,750,382,165,13,0,"6,691",0,13,"4,167",28,0,343,0,0,0,0,13,3,27,37,0,0,0,0,305,6,3,0,0,N/E,0
2020-05-30,0,0,0,312,0,0,0,0,154,0,"1,118",717,124,11,0,"5,930",0,6,"2,555",17,0,411,0,1,-1,0,10,2,46,164,0,0,0,0,280,3,0,0,0,N/E,0
2020-05-31,0,0,0,282,0,0,0,0,139,0,960,543,91,10,0,"12,918",0,3,"9,937",17,0,347,0,0,0,1,-2,2,28,122,0,0,0,0,431,7,0,0,0,N/E,0
2020-06-01,0,0,2,189,0,0,2,23,138,0,"1,078",427,123,9,0,"12,974",0,12,"10,267",9,0,265,0,0,0,0,22,0,17,54,0,0,2,0,327,6,2,0,0,N/E,0
2020-06-02,0,0,3,254,0,0,0,5,136,2,986,551,121,16,0,"14,932",0,11,"11,849",12,0,366,2,0,0,0,18,5,26,165,0,0,5,0,391,5,3,0,0,N/E,0
2020-06-03,0,0,0,235,0,0,3,18,155,1,"1,004",554,133,11,0,"17,702",0,13,"14,598",18,0,317,0,0,0,0,21,3,26,170,0,1,1,0,415,3,2,0,0,N/E,0
2020-06-04,0,0,2,254,1,1,1,19,110,0,"1,065",668,133,19,0,"19,383",0,8,"16,144",32,0,349,0,0,1,0,16,4,26,127,0,0,2,0,399,2,0,0,0,N/E,0
2020-06-05,0,0,1,272,0,0,0,29,102,2,"1,021",486,132,12,0,"19,357",1,16,"16,235",15,0,405,0,1,0,0,14,2,28,81,0,0,3,0,491,5,3,0,0,N/E,0
2020-06-06,0,0,0,241,0,0,0,-3,109,0,991,532,123,10,0,"9,766",0,7,"7,022",10,0,316,0,0,0,0,9,0,29,88,0,0,3,0,275,2,2,0,0,N/E,0
2020-06-07,0,0,0,204,0,0,0,0,89,0,775,381,92,11,0,"11,293",1,5,"9,127",7,0,240,0,0,0,1,3,0,21,104,0,0,1,0,224,2,5,0,0,N/E,0
2020-06-08,0,2,1,201,0,1,0,21,118,0,"1,083",577,121,13,0,"18,959",0,9,"16,038",9,0,325,0,0,0,1,10,3,26,45,-1,0,2,0,349,4,1,0,0,N/E,0
2020-06-09,0,0,0,270,0,1,1,21,167,0,"1,022",645,101,8,0,"18,875",0,13,"15,694",13,0,329,0,0,0,0,5,0,21,142,-1,0,3,0,410,8,2,0,0,N/E,0
2020-06-10,0,1,0,278,0,0,0,14,122,0,943,662,128,6,0,"22,302",0,4,"19,105",13,0,403,0,0,0,0,8,4,34,179,0,0,2,0,392,2,2,0,0,N/E,0
2020-06-11,0,0,2,264,0,1,1,24,120,0,895,605,87,1,0,"18,897",0,9,"15,854",16,0,372,0,1,1,1,11,3,24,183,0,0,2,0,408,7,3,2,0,N/E,0
2020-06-12,0,0,0,357,0,2,1,12,134,0,"1,025",636,127,15,0,"19,693",2,13,"16,631",6,0,239,0,1,0,0,4,2,35,34,0,0,4,0,408,5,0,0,0,N/E,0
2020-06-13,1,0,0,282,0,0,0,-1,120,0,993,572,140,16,0,"16,493",0,9,"13,533",11,0,325,0,0,0,0,1,2,35,142,0,0,1,0,299,7,5,0,0,N/E,0
2020-06-14,0,0,0,259,0,0,0,-1,95,0,843,480,83,12,0,"11,942",0,3,"9,523",9,0,259,0,0,0,0,6,2,21,112,0,0,2,0,229,6,-1,0,0,N/E,0
2020-06-15,0,0,0,250,0,0,0,25,94,0,"1,116",445,128,21,0,"21,462",0,6,"18,607",11,0,315,0,1,-1,3,11,1,17,36,0,0,0,0,369,4,3,0,0,N/E,0
2020-06-16,0,0,0,301,0,0,1,20,114,0,"1,304",626,122,12,0,"19,771",0,9,"16,139",38,0,419,0,1,1,0,7,3,47,161,0,0,3,0,439,2,2,0,0,N/E,0
2020-06-17,1,0,0,282,0,0,0,33,102,0,"1,020",631,107,12,0,"17,490",0,15,"14,263",16,0,443,0,0,1,1,10,3,44,160,0,0,1,0,334,7,4,0,0,N/E,0
2020-06-18,0,0,1,352,0,0,0,36,137,2,"1,012",599,94,5,0,"18,969",0,11,"15,715",13,0,407,1,2,1,0,12,0,27,172,0,0,0,0,368,0,2,0,0,N/E,0
2020-06-19,0,0,0,274,1,1,0,24,108,0,"1,048",588,131,10,0,"18,860",0,13,"15,787",15,0,384,1,0,0,1,6,2,30,107,0,0,0,0,320,7,2,0,0,N/E,0
2020-06-20,0,0,0,298,0,0,1,0,97,0,992,543,55,8,0,"13,511",0,3,"10,782",9,0,316,0,0,0,0,3,2,28,123,1,0,1,0,246,2,1,0,0,N/E,0
2020-06-21,0,0,0,200,0,0,0,-2,68,0,690,315,52,6,0,"10,207",1,2,"8,331",8,0,191,0,0,0,0,3,0,19,95,0,0,0,0,226,-1,3,0,0,N/E,0
2020-06-22,0,0,2,294,0,0,0,38,97,0,958,548,94,18,0,"18,082",0,7,"15,190",15,0,327,0,0,0,0,7,2,29,120,0,0,1,0,332,2,0,1,0,N/E,0
2020-06-23,0,0,3,278,0,0,0,23,113,0,821,623,125,16,0,"15,360",0,2,"12,571",11,0,289,0,0,0,0,11,1,32,108,0,0,0,0,328,4,1,0,0,N/E,0
2020-06-24,0,0,1,285,0,0,0,28,101,1,920,643,98,12,0,"17,430",0,13,"14,453",7,0,352,1,0,0,0,12,3,35,53,0,1,1,0,397,9,4,0,0,N/E,0
2020-06-25,0,0,1,302,0,0,3,21,97,2,844,658,116,12,0,"17,335",1,9,"14,266",19,0,373,1,0,1,1,14,1,33,155,0,0,2,0,396,4,2,1,0,N/E,0
2020-06-26,0,0,1,321,0,1,1,16,134,1,934,534,127,13,0,"17,812",0,8,"14,944",9,0,375,0,0,0,1,8,1,33,48,0,0,2,0,296,1,3,0,0,N/E,0
2020-06-27,0,0,0,318,0,0,0,-2,92,0,968,551,110,10,0,"13,186",2,4,"10,359",12,0,290,0,0,0,1,11,1,29,52,0,0,2,0,373,3,0,0,0,N/E,0
2020-06-28,0,0,0,286,0,0,1,0,75,0,815,400,86,16,0,"8,782",0,2,"6,337",10,0,254,0,0,1,1,5,2,28,54,0,0,0,0,398,6,5,0,0,N/E,0
2020-06-29,0,1,2,170,0,0,1,37,146,0,"1,103",412,121,8,0,"12,221",0,8,"9,822",26,0,344,0,1,-1,0,8,5,41,30,0,0,4,0,-75,3,4,0,0,N/E,0
2020-06-30,0,0,3,201,0,0,1,28,194,0,"1,199",421,132,0,0,"5,443",0,16,"2,014",43,0,489,0,0,-1,0,5,2,22,-19,1,0,0,0,687,2,3,0,0,N/E,0
2020-07-01,0,0,2,142,0,0,0,"-1,518",142,2,"1,078",680,115,0,0,"15,075",0,11,"13,414",18,0,380,2,0,1,0,8,2,38,38,0,0,2,0,507,7,4,0,0,N/E,0
2020-07-02,0,0,0,482,0,0,1,N/E,162,0,988,613,104,0,0,"16,335",2,10,"12,886",39,0,398,0,2,1,0,6,3,29,86,0,0,3,0,512,6,2,0,0,N/E,0
2020-07-03,0,0,2,464,0,0,0,N/E,155,2,"1,027",562,163,0,0,"13,824",1,14,"10,394",31,0,407,0,1,0,1,6,5,23,63,0,0,4,0,496,2,1,0,0,N/E,0
2020-07-04,0,0,0,363,0,0,1,N/E,91,0,985,558,139,0,0,"14,746",0,6,"11,854",23,0,282,0,0,0,2,4,0,29,118,0,0,3,0,282,5,1,0,0,N/E,0
2020-07-05,0,0,0,312,0,0,0,N/E,13,1,719,705,71,0,0,"10,362",0,5,"7,962",14,0,195,0,1,0,0,2,2,24,-7,0,0,0,0,338,4,1,0,0,N/E,0
2020-07-06,0,0,0,392,0,0,2,N/E,104,0,926,"4,950",117,0,0,"22,493",0,8,"15,140",27,0,378,0,2,1,2,6,1,53,10,-1,0,1,0,368,2,4,0,0,N/E,0
2020-07-07,0,0,0,322,0,0,0,N/E,96,0,794,"6,899",108,0,0,"22,637",0,8,"13,568",19,0,352,1,0,0,0,1,0,45,119,0,0,0,0,296,7,2,0,0,N/E,0
2020-07-08,0,0,0,368,0,0,1,N/E,120,1,876,"15,828",128,0,0,"34,285",0,7,"16,264",36,0,262,0,1,0,1,3,2,27,75,0,1,2,0,273,2,7,0,0,N/E,0
2020-07-09,0,0,0,385,0,0,0,N/E,111,0,878,"24,679",111,0,0,"41,212",0,7,"14,147",42,0,361,0,0,1,0,7,3,31,133,1,0,2,0,306,3,4,0,0,N/E,0
2020-07-10,0,0,1,466,0,0,2,N/E,146,1,908,"18,586",137,0,0,"30,906",0,19,"9,792",33,0,353,1,2,1,2,3,1,43,60,0,0,0,0,340,8,1,0,0,N/E,0
2020-07-11,0,0,0,382,0,0,0,N/E,99,0,958,"10,280",117,0,0,"24,734",0,3,"12,168",18,0,278,0,0,0,0,7,0,25,116,0,0,2,0,271,7,3,0,0,N/E,0
2020-07-12,0,0,0,282,0,0,0,N/E,81,0,850,"6,359",75,0,0,"17,115",0,2,"8,878",9,0,168,0,0,0,1,2,1,28,96,0,0,1,0,282,0,0,0,0,N/E,0
2020-07-13,0,0,1,348,0,0,0,N/E,141,0,"1,104","11,603",123,0,0,"31,638",0,9,"17,759",25,0,294,1,0,0,1,4,1,34,49,0,0,0,0,134,4,3,0,0,N/E,0
2020-07-14,0,0,1,399,0,0,1,N/E,137,2,"1,026","10,237",114,0,0,"30,271",0,11,"17,642",52,0,366,0,1,2,0,13,6,42,95,1,0,1,0,108,11,3,0,0,N/E,0
2020-07-15,0,0,0,510,0,0,1,N/E,190,0,"1,074","9,184",147,0,0,"29,659",0,11,"17,817",21,0,293,0,2,0,0,10,4,47,55,0,0,2,0,280,7,4,0,0,N/E,0
2020-07-16,0,0,0,457,0,1,1,N/E,169,0,"1,015","9,923",133,0,0,"29,549",0,14,"16,788",46,0,405,0,0,0,1,2,1,48,73,0,0,5,0,456,7,4,0,0,N/E,0
2020-07-17,0,0,1,489,0,0,1,N/E,184,0,989,"12,861",132,0,0,"30,760",0,16,"15,229",28,0,439,0,-1,0,0,3,1,52,14,0,0,1,0,313,4,4,0,0,N/E,0
2020-07-18,0,0,0,355,0,0,0,N/E,151,2,908,"9,592",91,0,0,"21,967",0,10,"10,021",26,0,360,0,0,0,1,2,3,32,142,0,0,0,0,267,2,2,0,0,N/E,0
