,fecha,cuentas_que_han_realizado_al_menos_un_pago,cuentas_que_han_realizado_al_menos_un_cobro
0,2019-10-23,19089.0,17717.0
1,2019-10-24,19706.0,18257.0
2,2019-10-25,20905.0,19383.0
3,2019-10-28,21367.0,19791.0
4,2019-10-29,22049.0,20371.0
5,2019-10-30,22948.0,21135.0
6,2019-10-31,23796.0,21858.0
7,2019-11-01,25529.0,23454.0
8,2019-11-04,26482.0,24246.0
9,2019-11-05,27401.0,25067.0
10,2019-11-06,28273.0,25833.0
11,2019-11-07,29277.0,26726.0
12,2019-11-08,31484.0,28736.0
13,2019-11-11,32252.0,29440.0
14,2019-11-12,33003.0,30075.0
15,2019-11-13,33885.0,30853.0
16,2019-11-14,35134.0,31395.0
17,2019-11-15,37986.0,34487.0
18,2019-11-19,38795.0,35140.0
19,2019-11-20,39666.0,35861.0
20,2019-11-21,40537.0,36635.0
21,2019-11-22,42626.0,38418.0
22,2019-11-25,43300.0,38953.0
23,2019-11-26,44084.0,39595.0
24,2019-11-27,44951.0,40332.0
25,2019-11-28,45938.0,41134.0
26,2019-11-29,48431.0,43143.0
27,2019-12-02,49372.0,43792.0
28,2019-12-03,50402.0,44604.0
29,2019-12-04,51430.0,45399.0
30,2019-12-05,52819.0,46172.0
31,2019-12-06,54775.0,47821.0
32,2019-12-09,55640.0,48506.0
33,2019-12-10,56541.0,49262.0
34,2019-12-11,57437.0,49997.0
35,2019-12-12,58144.0,50600.0
36,2019-12-13,61898.0,52554.0
37,2019-12-16,62715.0,53211.0
38,2019-12-17,63533.0,53842.0
39,2019-12-18,64328.0,54479.0
40,2019-12-19,65288.0,55283.0
41,2019-12-20,67161.0,57043.0
42,2019-12-23,67708.0,57530.0
43,2019-12-24,68153.0,57924.0
44,2019-12-25,68390.0,58167.0
45,2019-12-26,68890.0,58621.0
46,2019-12-27,70129.0,59738.0
47,2019-12-30,70694.0,60214.0
48,2019-12-31,71128.0,60603.0
49,2020-01-01,71373.0,60849.0
50,2020-01-02,71995.0,61384.0
51,2020-01-03,73717.0,63033.0
52,2020-01-06,74432.0,63637.0
53,2020-01-07,75004.0,64137.0
54,2020-01-08,75670.0,64755.0
55,2020-01-09,76340.0,65295.0
56,2020-01-10,78011.0,66741.0
57,2020-01-13,78775.0,67255.0
58,2020-01-14,79615.0,67890.0
59,2020-01-15,80705.0,68964.0
60,2020-01-16,81513.0,69364.0
61,2020-01-17,83126.0,70758.0
62,2020-01-20,83724.0,71206.0
63,2020-01-21,84253.0,71651.0
64,2020-01-22,84831.0,72101.0
65,2020-01-23,85339.0,72551.0
66,2020-01-24,86583.0,73568.0
67,2020-01-27,87072.0,74075.0
68,2020-01-28,87674.0,74508.0
69,2020-01-29,88362.0,75020.0
70,2020-01-30,89276.0,75765.0
71,2020-01-31,91706.0,77893.0
72,2020-02-04,92387.0,78431.0
73,2020-02-05,93049.0,78971.0
74,2020-02-06,93725.0,79483.0
75,2020-02-07,95106.0,80701.0
76,2020-02-10,95697.0,81190.0
77,2020-02-11,96315.0,81624.0
78,2020-02-12,96984.0,82122.0
79,2020-02-13,97742.0,82730.0
80,2020-02-14,100040.0,84556.0
81,2020-02-17,100753.0,85112.0
82,2020-02-18,101413.0,85621.0
83,2020-02-19,102085.0,86181.0
84,2020-02-20,102808.0,86776.0
85,2020-02-21,104519.0,88163.0
86,2020-02-24,105155.0,88664.0
87,2020-02-25,105796.0,89153.0
88,2020-02-26,106438.0,89657.0
89,2020-02-27,107066.0,90181.0
90,2020-02-28,109102.0,91868.0
91,2020-03-02,109789.0,92418.0
92,2020-03-03,110632.0,93186.0
93,2020-03-04,111518.0,93946.0
94,2020-03-05,112336.0,94611.0
95,2020-03-06,114084.0,96130.0
96,2020-03-09,114659.0,96586.0
97,2020-03-10,115278.0,97070.0
98,2020-03-11,115874.0,97630.0
99,2020-03-12,116552.0,98326.0
100,2020-03-13,118854.0,100205.0
101,2020-03-17,119382.0,100660.0
102,2020-03-18,119920.0,101108.0
103,2020-03-19,120417.0,101583.0
104,2020-03-20,121697.0,102763.0
105,2020-03-23,122131.0,103170.0
106,2020-03-24,122549.0,103546.0
107,2020-03-25,122950.0,103889.0
108,2020-03-26,123418.0,104303.0
109,2020-03-27,124680.0,105464.0
110,2020-03-30,125265.0,105982.0
111,2020-03-31,125877.0,106557.0
112,2020-04-01,126421.0,107050.0
113,2020-04-02,127129.0,107651.0
114,2020-04-03,128608.0,108939.0
115,2020-04-06,129120.0,109386.0
116,2020-04-07,129633.0,109838.0
117,2020-04-08,130166.0,110318.0
118,2020-04-09,130693.0,110791.0
119,2020-04-10,131791.0,111840.0
120,2020-04-13,132303.0,112290.0
121,2020-04-14,132935.0,112867.0
122,2020-04-15,133559.0,113444.0
123,2020-04-16,134185.0,114030.0
124,2020-04-17,135735.0,115396.0
125,2020-04-20,136236.0,115823.0
126,2020-04-21,136724.0,116222.0
127,2020-04-22,137198.0,116621.0
128,2020-04-23,137703.0,117051.0
129,2020-04-24,139021.0,118252.0
130,2020-04-27,139510.0,118695.0
131,2020-04-28,140047.0,119110.0
132,2020-04-29,140657.0,119619.0
133,2020-04-30,141290.0,120111.0
134,2020-05-01,142868.0,121637.0
135,2020-05-04,143522.0,122218.0
136,2020-05-05,144161.0,122776.0
137,2020-05-06,145538.0,124041.0
138,2020-05-07,146181.0,124577.0
139,2020-05-08,147744.0,126037.0
140,2020-05-11,148209.0,126439.0
141,2020-05-12,148782.0,126920.0
142,2020-05-13,149379.0,127400.0
143,2020-05-14,150101.0,127997.0
144,2020-05-15,151971.0,129646.0
145,2020-05-18,152581.0,130127.0
146,2020-05-19,153164.0,130603.0
147,2020-05-20,153742.0,131081.0
148,2020-05-21,154326.0,131567.0
149,2020-05-22,155978.0,133019.0
150,2020-05-25,156593.0,133524.0
151,2020-05-26,157258.0,134105.0
152,2020-05-27,157851.0,134626.0
153,2020-05-28,158628.0,135290.0
154,2020-05-29,160710.0,137041.0
155,2020-06-01,161400.0,137587.0
156,2020-06-02,162002.0,138118.0
157,2020-06-03,162675.0,138691.0
158,2020-06-04,163360.0,139333.0
159,2020-06-05,165135.0,140949.0
160,2020-06-08,165687.0,141426.0
161,2020-06-09,166279.0,141940.0
162,2020-06-10,166812.0,142386.0
163,2020-06-11,167424.0,142915.0
164,2020-06-12,169279.0,144618.0
165,2020-06-15,169988.0,145220.0
166,2020-06-16,170659.0,145787.0
167,2020-06-17,171281.0,146297.0
168,2020-06-18,171937.0,146856.0
169,2020-06-19,173637.0,148320.0
170,2020-06-22,174165.0,148821.0
171,2020-06-23,174660.0,149257.0
172,2020-06-24,175194.0,149728.0
173,2020-06-25,175790.0,150224.0
174,2020-06-26,177461.0,151709.0
175,2020-06-29,178068.0,152223.0
176,2020-06-30,178768.0,152814.0
177,2020-07-01,179418.0,153422.0
178,2020-07-02,180166.0,154047.0
179,2020-07-03,181992.0,155665.0
180,2020-07-06,182566.0,156163.0
181,2020-07-07,183119.0,156633.0
182,2020-07-08,183778.0,157205.0
183,2020-07-09,184452.0,157833.0
184,2020-07-10,186467.0,159632.0
185,2020-07-13,187114.0,160255.0
186,2020-07-14,187918.0,160940.0
187,2020-07-15,188829.0,161722.0
188,2020-07-16,189696.0,162507.0
189,2020-07-17,191994.0,164558.0
190,2020-07-20,192791.0,165273.0
191,2020-07-21,193516.0,165951.0
192,2020-07-22,194429.0,166787.0
193,2020-07-23,195467.0,167688.0
