,fecha,total_cuentas_validadas,ABC_capital,banco_actinver,banca_afirme,opciones_empresariales_del_Noreste,banco_autofin_méxico,banco_azteca,banco_del_bajío,banco_nacional_de_méxico,Banco_ahorro_Famsa,bancoppel,banco_bancrea,banco_nacional_del_ejército_fuerza_aérea_y_armada,bankaool,banco_mercantil_del_norte,banco_regional,banco_del_ahorro_nacional_y_servicios_financieros,bansi,banco_base,bbva_bancomer,banco_monex,cibanco,banco_compartamos,consubanco,fundación_dondé_banco,fincomún_servicios_financieros_comunitarios,hsbc_méxico,banco_inbursa,banco_inmobiliario_mexicano,intercam_banco,banco_invex,banca_mifel,banco_multiva,banco_pagatodo,banco_sabadell,banco_santander,scotiabank_inverlat,sistema_de_transferencias_y_pagos_stp,operadora_de_pagos_móviles_de_méxico,banco_ve_por_Mas
0,24/05/2020,20477,0,0,41,5,2,718,21,1352,12,2571,0,20,0,339,362,0,0,1,12572,0,0,13,0,0,1,863,83,0,6,0,5,0,24,0,1084,373,8,0,1
1,25/05/2020,9422,0,0,11,2,1,294,9,502,13,942,1,9,0,161,141,0,0,0,5689,0,0,2,0,0,0,1047,27,0,1,0,3,0,8,0,411,143,5,0,0
2,26/05/2020,9494,0,0,27,2,2,243,4,624,12,910,0,6,0,135,158,1,0,1,5652,0,0,2,0,0,-1,1119,34,0,1,0,4,0,4,1,375,170,6,0,2
3,27/05/2020,11850,0,0,16,1,0,233,9,565,11,800,0,10,0,119,121,0,0,0,8761,0,1,7,0,0,1,598,23,0,2,0,2,0,7,1,359,200,3,0,0
4,28/05/2020,13902,0,0,16,1,1,297,15,603,28,1003,0,18,0,175,140,0,0,0,10299,0,0,5,0,0,0,579,31,0,1,0,0,0,17,2,391,270,8,0,2
5,29/05/2020,6691,0,0,28,0,0,266,13,382,27,750,0,13,-1,144,165,0,0,0,4167,0,0,6,0,0,0,305,27,0,0,0,3,0,13,0,343,37,3,0,0
6,30/05/2020,5930,0,0,17,0,0,312,6,717,0,1118,0,11,0,154,124,0,0,0,2555,0,1,3,0,0,-1,280,46,0,0,0,2,0,10,0,411,164,0,0,0
7,31/05/2020,12918,0,0,17,0,0,282,3,543,0,960,0,10,0,139,91,0,0,0,9937,0,0,7,0,0,0,431,28,0,0,0,2,0,-2,0,347,122,0,0,1
8,01/06/2020,12974,0,0,9,2,2,189,12,427,23,1078,0,9,0,138,123,0,0,0,10267,0,0,6,0,0,0,327,17,0,2,0,0,0,22,0,265,54,2,0,0
9,02/06/2020,14932,0,0,12,3,0,254,11,551,5,986,0,16,2,136,121,0,0,0,11849,2,0,5,0,0,0,391,26,0,5,0,5,0,18,0,366,165,3,0,0
10,03/06/2020,17702,0,0,18,0,3,235,13,554,18,1004,0,11,1,155,133,0,0,0,14598,0,0,3,0,0,0,415,26,0,1,0,3,1,21,0,317,170,2,0,0
11,04/06/2020,19383,0,0,32,2,1,254,8,668,19,1065,0,19,0,110,133,0,1,1,16144,0,0,2,0,0,1,399,26,0,2,0,4,0,16,0,349,127,0,0,0
12,05/06/2020,19357,0,0,15,1,0,272,16,486,29,1021,1,12,2,102,132,0,0,0,16235,0,1,5,0,0,0,491,28,0,3,0,2,0,14,0,405,81,3,0,0
13,06/06/2020,9766,0,0,10,0,0,241,7,532,-3,991,0,10,0,109,123,0,0,0,7022,0,0,2,0,0,0,275,29,0,3,0,0,0,9,0,316,88,2,0,0
14,07/06/2020,11293,0,0,7,0,0,204,5,381,0,775,1,11,0,89,92,0,0,0,9127,0,0,2,0,0,0,224,21,0,1,0,0,0,3,0,240,104,5,0,1
15,08/06/2020,18959,0,2,9,1,0,201,9,577,21,1083,0,13,0,118,121,0,0,1,16038,0,0,4,-1,0,0,349,26,0,2,0,3,0,10,0,325,45,1,0,1
16,09/06/2020,18875,0,0,13,0,1,270,13,645,21,1022,0,8,0,167,101,0,0,1,15694,0,0,8,-1,0,0,410,21,0,3,0,0,0,5,0,329,142,2,0,0
17,10/06/2020,22302,0,1,13,0,0,278,4,662,14,943,0,6,0,122,128,0,0,0,19105,0,0,2,0,0,0,392,34,0,2,0,4,0,8,0,403,179,2,0,0
18,11/06/2020,18897,0,0,16,2,1,264,9,605,24,895,0,1,0,120,87,0,0,1,15854,0,1,7,0,0,1,408,24,0,2,0,3,0,11,2,372,183,3,0,1
19,12/06/2020,19693,0,0,6,0,1,357,13,636,12,1025,2,15,0,134,127,0,0,2,16631,0,1,5,0,0,0,408,35,0,4,0,2,0,4,0,239,34,0,0,0
20,13/06/2020,16493,0,0,11,0,0,282,9,572,-1,993,0,16,0,120,140,1,0,0,13533,0,0,7,0,0,0,299,35,0,1,0,2,0,1,0,325,142,5,0,0
21,14/06/2020,11942,0,0,9,0,0,259,3,480,-1,843,0,12,0,95,83,0,0,0,9523,0,0,6,0,0,0,229,21,0,2,0,2,0,6,0,259,112,-1,0,0
22,15/06/2020,21462,0,0,11,0,0,250,6,445,25,1116,0,21,0,94,128,0,0,0,18607,0,1,4,0,0,-1,369,17,0,0,0,1,0,11,0,315,36,3,0,3
23,16/06/2020,19771,0,0,38,0,1,301,9,626,20,1304,0,12,0,114,122,0,0,0,16139,0,1,2,0,0,1,439,47,0,3,0,3,0,7,0,419,161,2,0,0
24,17/06/2020,17490,0,0,16,0,0,282,15,631,33,1020,0,12,0,102,107,1,0,0,14263,0,0,7,0,0,1,334,44,0,1,0,3,0,10,0,443,160,4,0,1
25,18/06/2020,18969,0,0,13,1,0,352,11,599,36,1012,0,5,2,137,94,0,0,0,15715,1,2,0,0,0,1,368,27,0,0,0,0,0,12,0,407,172,2,0,0
26,19/06/2020,18860,0,0,15,0,0,274,13,588,24,1048,0,10,0,108,131,0,1,1,15787,1,0,7,0,0,0,320,30,0,0,0,2,0,6,0,384,107,2,0,1
27,20/06/2020,13511,0,0,9,0,1,298,3,543,0,992,0,8,0,97,55,0,0,0,10782,0,0,2,1,0,0,246,28,0,1,0,2,0,3,0,316,123,1,0,0
28,21/06/2020,10207,0,0,8,0,0,200,2,315,-2,690,1,6,0,68,52,0,0,0,8331,0,0,-1,0,0,0,226,19,0,0,0,0,0,3,0,191,95,3,0,0
