Fecha,Total de monto enviado,"Monto enviado por Accendo Banco, S.A.","Monto enviado por Banco Actinver, S.A.","Monto enviado por Banca Afirme, S.A.","Monto enviado por Opciones Empresariales del Noreste, S.A. de C.V.","Monto enviado por Banco Autofin México, S.A.","Monto enviado por Banco Azteca, S.A.","Monto enviado por Banco del Bajío, S.A.","Monto enviado por Banco Nacional de México, S.A.","Monto enviado por Banco Ahorro Famsa, S.A.","Monto enviado por BanCoppel, S.A.","Monto enviado por Banco Bancrea, S.A.","Monto enviado por Banco Nacional del Ejército, Fuerza Aérea y Armada","Monto enviado por Bankaool, S.A.","Monto enviado por Banco Mercantil del Norte, S.A.",Monto enviado por Banco Regional S.A.,"Monto enviado por Bansi, S.A.","Monto enviado por Banco Base, S.A.","Monto enviado por BBVA Bancomer, S.A.","Monto enviado por Banco Monex, S.A.","Monto enviado por CIBanco, S.A.","Monto enviado por Banco Compartamos, S.A.","Monto enviado por Consubanco, S.A.","Monto enviado por Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Monto enviado por HSBC México, S.A.","Monto enviado por Banco Inbursa, S.A.","Monto enviado por Banco Inmobiliario Mexicano, S.A.","Monto enviado por Intercam Banco, S.A.","Monto enviado por Banca Mifel, S.A.","Monto enviado por Banco Multiva, S.A.","Monto enviado por Banco Pagatodo, S.A.","Monto enviado por Banco Sabadell, S.A.","Monto enviado por Banco Santander (México), S.A.","Monto enviado por Scotiabank Inverlat, S.A.","Monto enviado por Sistema de Transferencias y Pagos STP, S.A. de C.V.","Monto enviado por Banco Ve Por Mas, S.A.",Total de monto recibido,"Monto recibido por ABC Capital, S.A.","Monto recibido por Accendo Banco, S.A.","Monto recibido por Banco Actinver, S.A.","Monto recibido por Banca Afirme, S.A.","Monto recibido por Opciones Empresariales del Noreste, S.A. de C.V.","Monto recibido por Banco Autofin México, S.A.","Monto recibido por Banco Azteca, S.A.","Monto recibido por Banco del Bajío, S.A.","Monto recibido por Banco Nacional de México, S.A.","Monto recibido por Banco Ahorro Famsa, S.A.","Monto recibido por BanCoppel, S.A.","Monto recibido por Banco Bancrea, S.A.","Monto recibido por Banco Nacional del Ejército, Fuerza Aérea y Armada","Monto recibido por Bankaool, S.A.","Monto recibido por Banco Mercantil del Norte, S.A.",Monto recibido por Banco Regional S.A.,"Monto recibido por Banco del Ahorro Nacional y Servicios Financieros, S.N.C.","Monto recibido por Bansi, S.A.","Monto recibido por Banco Base, S.A.","Monto recibido por BBVA Bancomer, S.A.","Monto recibido por Banco Monex, S.A.","Monto recibido por CIBanco, S.A.","Monto recibido por Banco Compartamos, S.A.","Monto recibido por Consubanco, S.A.","Monto recibido por Fundación Dondé Banco, S.A.","Monto recibido por Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Monto recibido por HSBC México, S.A.","Monto recibido por Banco Inbursa, S.A.","Monto recibido por Banco Inmobiliario Mexicano, S.A.","Monto recibido por Intercam Banco, S.A.","Monto recibido por Banco Invex, S.A.","Monto recibido por Banca Mifel, S.A.","Monto recibido por Banco Multiva, S.A.","Monto recibido por Banco Pagatodo, S.A.","Monto recibido por Banco Sabadell, S.A.","Monto recibido por Banco Santander (México), S.A.","Monto recibido por Scotiabank Inverlat, S.A.","Monto recibido por Sistema de Transferencias y Pagos STP, S.A. de C.V.","Monto recibido por Banco Ve Por Mas, S.A."
30/09/2019,187009,0,74,16,2222,0,7565,3400,105972,0,1048,0,0,12,28078,9762,0,0,12440,203,0,973,0,36,41,127,0,192,18,0,2568,0,12218,0,20,23,187009,18,0,34,20,2218,0,5512,1472,137431,0,1293,0,0,15,15398,5993,0,0,8,12959,201,0,953,0,1,37,655,190,0,140,13,18,0,1167,0,874,5,366,16
01/10/2019,311813,0,21,5,0,0,4590,14873,187411,0,13801,0,0,0,38499,5833,0,203,20929,54,0,2689,0,44,0,738,0,315,1,0,6822,0,14970,0,3,12,311813,4,0,8,5,1,0,1156,4480,208628,0,10450,1,0,1,42577,7534,0,1,100,12825,53,0,2691,0,0,2,1008,401,2,325,10,0,0,6994,0,12180,10,363,3
02/10/2019,360606,0,0,12,300,0,3662,4466,216259,0,9381,3,0,0,52047,7845,0,50,35034,3,0,7813,0,0,0,5306,0,978,20,0,6233,0,10886,0,1,306,360606,762,0,0,111,300,0,2347,4219,229016,0,10248,2,0,0,48005,19694,0,0,51,21242,5,0,8264,0,10,1,3310,3087,0,408,20,20,0,6085,0,3146,10,36,206
03/10/2019,399780,0,326,1055,17570,0,7679,4699,216406,0,10656,10,232,7,42659,13584,0,9107,42699,31,0,4335,0,320,0,14505,0,70,10,0,12729,0,880,172,14,24,399780,3,0,22,6,17358,0,7388,11556,230660,0,6020,6,0,4,40244,16846,2,0,7,42252,33,0,2488,0,0,320,478,8707,0,90,0,1,0,6767,0,8392,59,47,25
04/10/2019,398796,0,8,1895,9855,0,12468,14519,187362,0,11767,235,20,1,42311,8148,0,3,52191,68,0,7650,0,13,0,24826,0,39,1520,0,115,0,4795,18181,22,783,398796,0,0,2,19771,9715,0,8993,2353,215246,0,11693,236,0,1,41144,9315,1,0,3,28446,68,0,7607,0,0,12,544,12594,0,35,0,20,0,796,0,18597,11262,61,281
05/10/2019,345316,0,0,6110,601,0,9256,1288,164696,0,12813,0,248,0,33219,7206,0,0,63883,1,0,5269,0,0,0,11022,0,465,0,0,255,0,0,28983,0,0,345316,0,0,0,36372,601,0,16899,433,192273,0,4207,1,0,0,20450,8886,0,0,0,36229,0,0,5269,0,0,1,66,5843,0,0,0,0,0,39,0,9938,7808,0,0
06/10/2019,163872,0,0,2,1,0,3027,1701,97873,0,3710,0,100,0,17011,7991,0,0,3505,0,0,5254,0,3,0,6522,0,0,0,0,2146,0,1500,13525,0,0,163872,0,0,0,0,9,0,6939,2280,93481,0,4309,0,0,0,13697,12593,0,0,0,13353,0,0,5204,0,0,0,816,3356,0,0,0,0,0,120,0,4203,3512,0,0
07/10/2019,624991,0,0,2202,62,0,27110,7969,353805,0,5190,0,201,2,134279,2701,0,1024,35737,0,0,902,0,1047,0,11915,0,133,901,0,6362,0,12101,21302,11,36,624991,0,0,0,6003,67,0,66318,9344,310098,0,1633,0,0,2,52771,19108,0,0,1026,17996,0,0,893,0,0,1043,4866,32695,0,132,1,900,0,6014,0,23856,22178,10,48036
08/10/2019,527727,0,3,12,4363,0,16708,797,386183,0,14612,0,9101,57,30355,3217,0,1,12734,10,0,1250,0,1847,0,4308,0,280,8000,0,1075,0,10701,22100,1,13,527727,1200,0,4,34,4367,0,114823,873,295522,0,8224,0,0,11,23961,16220,1,1,1,13292,10,0,1399,0,0,547,688,4788,1,280,20,8000,0,85,0,11537,21812,7,21
09/10/2019,605193,0,0,53,3,0,20695,10542,332891,0,20143,1,172,0,40775,2521,0,0,49175,0,0,784,0,137,0,35094,0,166,6475,0,81,0,16941,68545,1,0,605193,0,0,0,8202,5,0,54817,3729,260284,0,17295,3,0,0,93417,8865,0,0,2,68823,1,0,749,0,0,1,1567,4193,0,166,0,6460,0,40,0,39855,36506,12,200
